date,timezone,username,tweet,link,nlikes,nretweets,nreplies,hashtags,datetime_,date_dt,time_dt
2022-01-09 19:20:11,+0800,BeruangGrrrizz,"Siapa yang kerja dalam SPRM tu, aku mintak maaf lah tapi korang memang dah hilang kredibiliti.",https://twitter.com/BeruangGrrrizz/status/1480137321563316231,1,0,0,[],2022-01-09 19:20:11,2022-01-09,19:20:11
2022-01-09 19:19:14,+0800,flintflan,"@SPRMMalaysia Totally irrelevant. Direct reports clearing the Boss? Where is the investigation report? Who in SPRM's Board approved his declaration of share purchase BEFORE it was done to avoid conflicts and to ensure independence? If these are not there, just close down SPRM. It's defective.",https://twitter.com/flintflan/status/1480137082940973056,0,0,0,[],2022-01-09 19:19:14,2022-01-09,19:19:14
2022-01-09 19:18:53,+0800,FarockAkhbar,@KroniRakyat ustaz ni pernah ceramah di sprm ni...sbb tu kuat sst sokong azam ni...,https://twitter.com/FarockAkhbar/status/1480136993111642114,0,0,0,[],2022-01-09 19:18:53,2022-01-09,19:18:53
2022-01-09 19:18:39,+0800,FiMubarakjr,sprm is a circus isn’t it?,https://twitter.com/FiMubarakjr/status/1480136933267238915,1,1,0,[],2022-01-09 19:18:39,2022-01-09,19:18:39
2022-01-09 19:18:27,+0800,izhiac,"@KucinSuzzy @SPRMMalaysia ""Kami mewakili warga SPRM"" tapi statement dari tiga timbalan je  ""Azam Baki tidak bersalah"" tapi ahli LPPR selain abu zahar bantah  Malaysia darul kelakar   https://t.co/dgQTpqkw3c",https://twitter.com/izhiac/status/1480136884584009731,44,9,0,[],2022-01-09 19:18:27,2022-01-09,19:18:27
2022-01-09 19:18:17,+0800,6a706c9336fc449,@davidwong27 @f4kr0ls00d Sprm set new presedent on combating crimn within dept.,https://twitter.com/6a706c9336fc449/status/1480136841479131140,0,0,0,[],2022-01-09 19:18:17,2022-01-09,19:18:17
2022-01-09 19:16:18,+0800,TOCQCU,@maszlee SPRM INVESTIGATED BY SPRM..Jangan Ketawa Yerr....,https://twitter.com/TOCQCU/status/1480136343711715329,10,0,1,[],2022-01-09 19:16:18,2022-01-09,19:16:18
2022-01-09 19:16:04,+0800,syahbwz,So siapa nak siasat SPRM ni? Polis? LOL,https://twitter.com/syahbwz/status/1480136282852319233,2,0,0,[],2022-01-09 19:16:04,2022-01-09,19:16:04
2022-01-09 19:15:42,+0800,AbramNona,@kuasasiswa Most Corrupted Agencies. SPRM. Semua makan duit Haram.,https://twitter.com/AbramNona/status/1480136192972578817,0,0,0,[],2022-01-09 19:15:42,2022-01-09,19:15:42
2022-01-09 19:15:26,+0800,thegreenyant,@SPRMMalaysia boo lah ko sprm…dhlah makan gaji pn dari tax rakyat tp hidup tak tahu malu…masuklah ramai2 dlm neraka…,https://twitter.com/thegreenyant/status/1480136126044131328,0,0,0,[],2022-01-09 19:15:26,2022-01-09,19:15:26
2022-01-09 19:15:19,+0800,ThalaEvan,@Naren63936376 @Shankar018 @IamGokulVJ @sunpictures @actorvijay Song lam day 1 tha fan base sprm gen audience reach tha.better 1 day 1.5 m likes beings beast ku epdium 5 days announcement varum.valimai 4 hrs la announcement vitu master record sh thookanom,https://twitter.com/ThalaEvan/status/1480136094712688642,0,0,1,[],2022-01-09 19:15:19,2022-01-09,19:15:19
